Job Title,Company,Location,Experience Level,Date,Skills,Job Type,Application Link
Agricultural Engineer,Almotaheda -,"Abu Almatamir, Beheira, Egypt",· 1 - 5 Yrs of Exp,14 days ago,"English Education, Computer Skills",Full Time,https://wuzzuf.net/jobs/p/elmxggwrxjrf-agricultural-engineer-almotaheda-beheira-egypt
Agricultural Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt",· 2 - 5 Yrs of Exp,25 days ago,"Irrigation system design, Project management, Soil analysis, Agricultural engineering, Pest and disease control, Plant health management, Sustainable landscaping",Full Time,https://wuzzuf.net/jobs/p/vkfg80bi2k4d-agricultural-engineer-talaat-moustafa-group-cairo-egypt
"Technical Sales Engineer, Electrical Mechanical Agriculture - Alexandria",Sagueny Group -,"Alibrahimiyyah, Alexandria, Egypt",· 2+ Yrs of Exp,1 month ago,"Inside Sales, Upselling, Indoor Sales, Outdoor Sales, Sales Skills, Mechanical Engineering, Mechantronics, Electrical Engineering, Management, English, Engineering",Full Time,https://wuzzuf.net/jobs/p/5e8aw0ugkien-technical-sales-engineer-electrical-mechanical-agriculture-alexandria-sagueny-group-alexandria-egypt
Agricultural Quality Engineer,Bennu -,"Cairo, Egypt",· 0 - 5 Yrs of Exp,2 months ago,"Agricultural Engineering, Engineering, Operations, Production, Quality Assurance, Quality Control, Safety, FMCG, Microsoft Office, quality, ISO, BRC, Logistics",Full Time,https://wuzzuf.net/jobs/p/jbdkjnkflxk2-agricultural-quality-engineer-bennu-cairo-egypt
Production Supervisor,Shoura Chemicals -,"6th of October, Giza, Egypt",· 0 - 1 Yrs of Exp,Not listed,"Manufacturing, Engineering, Production, Science, Agriculture, Quality Control",Full Time,https://wuzzuf.net/jobs/p/pmsum4qxcakf-production-supervisor-shoura-chemicals-giza-egypt
Production Manager ( frozen vegetable),vegi farm -,"Alsalihiyyah Aljadidah, Sharqia, Egypt",· 8 - 12 Yrs of Exp,8 days ago,"Agriculture, Food Production, Manufacturing, Production, Production Management, Operations, Engineering, Food",Full Time,https://wuzzuf.net/jobs/p/ivrg8lmuvliq-production-manager-frozen-vegetable-vegi-farm-sharqia-egypt
HSE / Safety Manager,Marbella For Food Industry -,"6th of October, Giza, Egypt",· 5 - 7 Yrs of Exp,19 days ago,"Engineering, HSE, Safety, safety manager, Manufacturing, FMCG, Agriculture, ISO, NEBOSH, OSHA, quality, Science",Full Time,https://wuzzuf.net/jobs/p/tx908xpao4rf-hse-safety-manager-marbella-for-food-industry-giza-egypt
Production Engineer (Background Foods),Marbella For Food Industry -,"6th of October, Giza, Egypt",· 3 - 5 Yrs of Exp,1 month ago,"Agriculture, Engineering, Food Production, LEAN, Lean manufacturing, Manufacturing, Mechanical, Food, Mechanical Engineering, Production, Science, Six Sigma, Production Engineering, Food Manufacturing, ",Full Time,https://wuzzuf.net/jobs/p/bjeknlumctou-production-engineer-background-foods-marbella-for-food-industry-giza-egypt
Milk Sourcing Buyer,Beyti - an Almarai Subsidiary -,"New Cairo, Cairo, Egypt",· 2 - 3 Yrs of Exp,20 days ago,"Agricultural engineering, milk, procurement, animal production, farm, Contract Farming, development farm",Full Time,https://wuzzuf.net/jobs/p/dat7jqrrba4i-milk-sourcing-buyer-beyti-an-almarai-subsidiary-cairo-egypt
Agricultural Engineer,Confidential -,"Assuit, Assiut, Egypt",· 7 - 10 Yrs of Exp,2 months ago,"Agriculture, Irrigation, fertilization",Full Time,https://wuzzuf.net/jobs/p/0yyr1drvdef9-agricultural-engineer-assiut-egypt
Quality Control Specialist,Egyptian Starch and Glucose Manufacturing Company -,"Musturad, Qalubia, Egypt",· 2 - 3 Yrs of Exp,27 days ago,"Quality, Quality Control, Science, Agriculture, Computer, Statistical, Food & Beverage, Laboratory, Communication skills, Control, Engineering, Industry, Communication",Full Time,https://wuzzuf.net/jobs/p/hhnpcplbqglv-quality-control-specialist-egyptian-starch-and-glucose-manufacturing-company-qalubia-egypt
Production Engineer,الشركة المتحدة للاغذية -,"New Cairo, Cairo, Egypt",Not listed,2 months ago,"engineer, Production, Production engineer, Agricultural Engineering, Agricultural, Dairy, Engineering, Environment, food safety, Manufacturing, Safety",Full Time,https://wuzzuf.net/jobs/p/h76u4dryhhu3-production-engineer-alshrk-almthd-llaghthy-cairo-egypt
Irrigation Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt",· 2 - 5 Yrs of Exp,25 days ago,"Irrigation System Design, AutoCAD, Water Resource Management, Sustainable Engineering, Project Management",Full Time,https://wuzzuf.net/jobs/p/hmivbjljhzvw-irrigation-engineer-talaat-moustafa-group-cairo-egypt
Landscape technical office Engineer,Confidential -,"Maadi, Cairo, Egypt",· 3 - 6 Yrs of Exp,15 days ago,"Landscape Design, AutoCAD, Technical Drawing, Project Coordination, Construction Documentation, Site Inspection, Problem Solving, Communication, Time Management, Material Procurement",Full Time,https://wuzzuf.net/jobs/p/5nlwn6qfges1-landscape-technical-office-engineer-cairo-egypt
Quality Control Engineer,orion food -,"6th of October, Giza, Egypt",· males_only,12 days ago,"Quality Control, Food Safety, Analytical Thinking, Problem Solving, Quality Assurance",Internship,https://wuzzuf.net/internship/5p3rfgo7rauo-quality-control-engineer-orion-food-giza-egypt
Printing Engineer,Zpac Co -,"Qalyub, Qalubia, Egypt",· 1+ Yrs of Exp,15 days ago,"Printing, Mechanical Engineering, Plastic Extrusion",Full Time,https://wuzzuf.net/jobs/p/rzsvdva2umlu-printing-engineer-zpac-co-qalubia-egypt
